,TEAM,CONF,ADJOE,ADJDE,BARTHAG_x,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR_x,FTRD_x,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB_x,WIN_PCT,YEAR,BADJ EM,BADJ O,BADJ D,BARTHAG_y,EFG%,EFGD%,FTR_y,FTRD_y,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST %,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB_y,WIN_PCT_CONF
50,Oregon,P12,113.3,99.5,0.8157,51.8,51.5,14.8,17.9,28.7,27.1,32.3,32.8,52.7,51.6,33.6,34.3,36.7,36.2,67.2,1.4,0.6764705882352942,2024,11.3,110.9,99.6,0.775,51.7,49.8,32.9,30.7,16.6,16.8,28.9,72.7,27.3,71.1,69.7,51.4,49.1,34.9,33.9,9.8,8.3,52.7,50.3,64.3,35.7,63.1,36.9,69.3,78.194,81.489,1.941,52.544,71.6,71.2,1.074,1.03,25.802,-2.1,0.5596330275229358
51,Colgate,Pat,102.3,101.8,0.5151,53.4,47.2,16.3,16.1,25.0,24.5,27.6,24.5,53.3,48.7,35.7,29.9,38.3,39.6,66.2,-4.1,0.7575757575757576,2024,-11.8,97.2,109.0,0.211,48.7,50.8,28.9,31.6,17.8,16.8,26.3,73.5,26.5,73.7,65.6,48.2,50.2,32.9,34.5,8.7,9.8,53.5,52.9,60.0,40.0,60.4,39.6,66.6,76.543,79.967,1.646,1.134,69.0,70.5,0.991,1.041,9.013,-13.1,0.38545454545454544
52,James Madison,SB,112.1,100.5,0.778,54.4,46.7,14.7,19.8,32.0,27.6,34.2,35.1,54.2,48.8,36.5,28.6,38.1,35.1,69.8,1.5,0.9393939393939394,2024,-2.6,103.5,106.1,0.429,49.6,49.9,32.5,35.0,17.1,17.1,30.0,69.8,30.2,70.0,70.1,49.4,49.9,33.3,33.2,9.7,9.6,47.6,48.5,63.6,36.4,63.2,36.8,69.5,76.982,80.037,2.085,11.056,70.3,71.1,1.042,1.054,13.154,-8.9,0.4708994708994709
53,Samford,SC,111.8,102.5,0.7314,56.9,50.0,18.1,21.7,30.2,32.0,36.4,37.0,55.5,49.5,39.3,33.9,40.9,40.1,72.6,0.05,0.90625,2024,-1.8,104.6,106.4,0.451,51.5,51.0,29.8,32.0,17.5,16.6,29.1,71.6,28.4,70.9,69.1,51.0,50.5,34.9,34.5,8.5,9.3,49.9,48.9,59.7,40.3,61.3,38.7,68.9,76.361,79.796,1.822,8.366,70.4,70.6,1.058,1.06,13.066,-7.7,0.5075757575757576
54,Auburn,SEC,120.7,92.2,0.9569,54.1,43.4,14.9,18.2,32.9,30.3,38.2,41.0,54.9,42.8,35.2,29.8,37.5,33.3,69.9,5.4,0.7941176470588235,2024,14.2,113.8,99.6,0.822,51.3,48.6,35.9,33.8,16.0,17.1,32.4,69.8,30.2,67.6,69.9,51.5,48.2,34.0,32.9,12.1,10.1,51.9,49.8,61.3,38.7,62.2,37.8,69.4,77.608,81.094,2.083,48.953,73.0,72.6,1.107,1.036,28.276,-0.1,0.6137566137566137
55,Tennessee,SEC,115.5,91.3,0.9371,51.5,45.4,14.6,18.9,32.4,28.6,34.3,35.8,51.6,44.3,34.2,31.4,41.3,41.4,69.3,5.6,0.75,2024,14.2,113.8,99.6,0.822,51.3,48.6,35.9,33.8,16.0,17.1,32.4,69.8,30.2,67.6,69.9,51.5,48.2,34.0,32.9,12.1,10.1,51.9,49.8,61.3,38.7,62.2,37.8,69.4,77.608,81.094,2.083,48.953,73.0,72.6,1.107,1.036,28.276,-0.1,0.6137566137566137
56,Alabama,SEC,125.1,102.2,0.9112,56.3,49.9,16.0,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,46.8,36.7,72.5,3.3,0.65625,2024,14.2,113.8,99.6,0.822,51.3,48.6,35.9,33.8,16.0,17.1,32.4,69.8,30.2,67.6,69.9,51.5,48.2,34.0,32.9,12.1,10.1,51.9,49.8,61.3,38.7,62.2,37.8,69.4,77.608,81.094,2.083,48.953,73.0,72.6,1.107,1.036,28.276,-0.1,0.6137566137566137
57,Florida,SEC,119.6,99.4,0.8938,51.5,48.8,15.8,14.5,37.5,28.9,38.6,34.2,51.7,49.0,34.2,32.2,34.5,32.7,71.6,2.8,0.6857142857142857,2024,14.2,113.8,99.6,0.822,51.3,48.6,35.9,33.8,16.0,17.1,32.4,69.8,30.2,67.6,69.9,51.5,48.2,34.0,32.9,12.1,10.1,51.9,49.8,61.3,38.7,62.2,37.8,69.4,77.608,81.094,2.083,48.953,73.0,72.6,1.107,1.036,28.276,-0.1,0.6137566137566137
58,Kentucky,SEC,123.0,102.3,0.8923,57.4,49.5,14.2,16.0,28.9,30.2,30.4,33.4,54.7,49.8,41.2,32.6,37.3,39.9,72.5,2.8,0.71875,2024,14.2,113.8,99.6,0.822,51.3,48.6,35.9,33.8,16.0,17.1,32.4,69.8,30.2,67.6,69.9,51.5,48.2,34.0,32.9,12.1,10.1,51.9,49.8,61.3,38.7,62.2,37.8,69.4,77.608,81.094,2.083,48.953,73.0,72.6,1.107,1.036,28.276,-0.1,0.6137566137566137
59,Mississippi St.,SEC,112.6,95.0,0.8761,51.7,47.7,18.7,18.2,35.4,27.6,37.9,32.4,53.4,50.2,32.5,29.4,38.2,41.1,67.2,0.7,0.6176470588235294,2024,14.2,113.8,99.6,0.822,51.3,48.6,35.9,33.8,16.0,17.1,32.4,69.8,30.2,67.6,69.9,51.5,48.2,34.0,32.9,12.1,10.1,51.9,49.8,61.3,38.7,62.2,37.8,69.4,77.608,81.094,2.083,48.953,73.0,72.6,1.107,1.036,28.276,-0.1,0.6137566137566137
60,Texas A&M,SEC,115.1,99.1,0.8481,45.4,50.1,14.2,16.9,41.9,28.0,38.2,31.2,47.0,49.5,28.4,33.9,38.1,44.9,65.6,0.1,0.5882352941176471,2024,14.2,113.8,99.6,0.822,51.3,48.6,35.9,33.8,16.0,17.1,32.4,69.8,30.2,67.6,69.9,51.5,48.2,34.0,32.9,12.1,10.1,51.9,49.8,61.3,38.7,62.2,37.8,69.4,77.608,81.094,2.083,48.953,73.0,72.6,1.107,1.036,28.276,-0.1,0.6137566137566137
61,South Carolina,SEC,114.4,99.0,0.8403,50.8,48.0,15.5,14.9,33.1,28.0,31.8,30.8,51.1,46.8,33.5,33.6,41.0,31.2,63.0,4.7,0.7878787878787878,2024,14.2,113.8,99.6,0.822,51.3,48.6,35.9,33.8,16.0,17.1,32.4,69.8,30.2,67.6,69.9,51.5,48.2,34.0,32.9,12.1,10.1,51.9,49.8,61.3,38.7,62.2,37.8,69.4,77.608,81.094,2.083,48.953,73.0,72.6,1.107,1.036,28.276,-0.1,0.6137566137566137
62,Grambling St.,SWAC,97.7,106.1,0.2804,48.2,49.1,20.5,19.0,28.1,32.7,39.6,33.9,47.0,48.4,34.1,33.7,29.8,33.4,64.9,-8.0,0.6451612903225806,2024,-14.2,95.8,110.0,0.17,46.3,52.0,35.8,41.4,19.7,19.1,29.0,67.4,32.6,71.0,70.1,45.9,52.0,31.5,34.7,8.3,9.5,47.7,55.5,67.3,32.7,62.2,37.8,69.4,76.26,79.337,2.256,2.97,70.9,71.7,0.959,1.078,16.044,-11.1,0.34448160535117056
63,McNeese St.,Slnd,111.3,101.1,0.7503,54.9,47.8,14.2,23.0,32.1,30.4,40.6,33.9,52.8,46.3,39.4,33.0,33.6,48.1,65.4,0.7,1.0344827586206895,2024,-9.7,100.0,109.7,0.256,48.7,51.5,36.0,37.9,18.7,18.0,29.5,68.4,31.6,70.5,69.6,48.0,51.9,33.2,34.0,9.5,10.6,50.4,54.4,64.4,35.6,62.5,37.5,69.1,76.438,79.501,2.014,4.527,70.3,71.2,1.012,1.076,13.495,-10.1,0.4
64,South Dakota St.,Sum,107.6,104.5,0.5842,55.3,50.8,16.4,16.5,24.4,25.3,30.4,27.4,55.9,49.0,36.2,35.2,40.2,47.1,67.9,-7.5,0.7096774193548387,2024,-5.4,104.6,110.0,0.359,51.8,52.5,32.4,32.2,16.0,15.3,26.8,72.7,27.3,73.2,68.0,51.2,52.1,35.1,35.4,7.6,8.8,45.1,46.4,60.6,39.4,61.9,38.1,68.4,77.403,80.22,1.914,9.198,72.9,73.6,1.073,1.096,11.244,-10.0,0.4396551724137931
65,Grand Canyon,WAC,111.2,99.8,0.777,52.0,45.9,17.8,19.9,34.6,29.6,45.3,34.8,52.3,44.4,34.4,32.6,36.1,33.6,68.1,1.4,0.90625,2024,-2.0,102.3,104.3,0.445,48.8,49.6,38.9,38.1,19.1,19.0,29.8,70.1,29.9,70.2,70.2,48.8,49.2,32.6,33.6,9.1,9.5,49.7,50.3,66.4,33.6,66.8,33.2,69.6,76.954,79.993,2.029,6.629,71.3,71.3,1.015,1.024,13.46,-7.9,0.4858156028368794
66,Saint Mary's,WCC,115.9,93.6,0.9207,53.1,45.1,16.0,16.7,39.0,22.4,28.3,32.2,53.0,43.6,35.5,32.4,36.7,29.0,62.1,1.5,0.8125,2024,1.6,106.7,105.1,0.543,51.9,51.1,30.8,32.3,16.8,16.1,29.4,72.7,27.3,70.6,68.5,51.9,50.6,34.6,34.6,8.0,7.7,52.4,51.3,62.8,37.2,63.3,36.7,68.5,77.788,81.017,1.859,26.884,71.0,71.7,1.071,1.059,18.221,-6.4,0.5080645161290323
67,Gonzaga,WCC,121.4,98.6,0.9158,56.7,47.3,14.0,16.5,33.3,27.2,31.5,25.8,58.3,45.1,35.5,34.0,31.4,36.9,69.1,2.5,0.8064516129032258,2024,1.6,106.7,105.1,0.543,51.9,51.1,30.8,32.3,16.8,16.1,29.4,72.7,27.3,70.6,68.5,51.9,50.6,34.6,34.6,8.0,7.7,52.4,51.3,62.8,37.2,63.3,36.7,68.5,77.788,81.017,1.859,26.884,71.0,71.7,1.071,1.059,18.221,-6.4,0.5080645161290323
